EM_QUAL_DEPARTAMENTO_DO_CEPEL_VOCE_ESTA_ALOCADO,HA_QUANTO_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,RESPOSTA,TECNOLOGIA,TOTAL,CATEGORIA
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Mais de 10 anos,Não tenho opinião / Não sei,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Mais de 10 anos,Não tenho opinião / Não sei,OUTRO,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Mais de 10 anos,Não tenho opinião / Não sei,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Mais de 10 anos,Não tenho opinião / Não sei,PUPPET,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Mais de 10 anos,Não tenho opinião / Não sei,SALT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Mais de 10 anos,Não tenho opinião / Não sei,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,ANSIBLE,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,CHEF,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,CROSSPLANE,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,NORNIR,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,OUTRO,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,PUPPET,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,SALT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",Menos de 1 ano,Não tenho opinião / Não sei,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
